[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/v1/admin/auth        --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).Authenticate-fm (3 handlers)
[GIN-debug] POST   /api/v1/users             --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).AddUser-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/list        --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).ListUsers-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/detail/:id  --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).GetUserByID-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/            --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).GetUserByParams-fm (4 handlers)
[GIN-debug] DELETE /api/v1/users/:id         --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).DeleteUserByID-fm (4 handlers)
[GIN-debug] PATCH  /api/v1/users             --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).UpdateUser-fm (4 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :8808
[GIN] 2020/04/24 - 20:59:19 | 200 |     696.329µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:20 | 200 |     664.465µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:20 | 200 |     649.136µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:20 | 200 |     710.757µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:20 | 200 |     735.328µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:20 | 200 |     686.417µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:20 | 200 |     767.296µs |  136.55.173.132 | POST     "/api/v1[GIN] 2020/04/24 - 20:59:48 | 200 |      705.11µs |  136.55.173.132 | POST     "/api/v1/admin/auth"
[GIN] 2020/04/24 - 20:59:56 | 200 |     701.402µs |  136.55.173.132 | POST     "/api/v1/admin/auth"
[GIN] 2020/04/24 - 21:43:53 | 200 |     733.243µs |  136.55.173.132 | POST     "/api/v1/admin/auth"
[GIN] 2020/04/24 - 21:44:21 | 200 |     651.602µs |  136.55.173.132 | POST     "/api/v1/admin/auth"
[GIN] 2020/04/24 - 21:44:46 | 200 |     748.859µs |  136.55.173.132 | POST     "/api/v1/admin/auth"
